subject_local,predicate_local,object_local,subject_wikidata,object_wikidata
Beirut,overlie,one,http://www.wikidata.org/entity/Q3820,http://www.wikidata.org/entity/Q59853
Tigranes,conquer,Beirut,http://www.wikidata.org/entity/Q4457116,http://www.wikidata.org/entity/Q3820
Justinian,recognise,school,http://www.wikidata.org/entity/Q20743259,http://www.wikidata.org/entity/Q4743502
Ottomans,conquer,Syria,http://www.wikidata.org/entity/Q2564225,http://www.wikidata.org/entity/Q858
One,fortify,it,http://www.wikidata.org/entity/Q59853,http://www.wikidata.org/entity/Q4918
Ottomans,reclaim,it,http://www.wikidata.org/entity/Q2564225,http://www.wikidata.org/entity/Q4918
Pasha,capture,Acre,http://www.wikidata.org/entity/Q2453214,http://www.wikidata.org/entity/Q40780
District,undergo,plan,http://www.wikidata.org/entity/Q78385593,http://www.wikidata.org/entity/Q68616824
Guardian,list,Beirut,http://www.wikidata.org/entity/Q11148,http://www.wikidata.org/entity/Q3820
Times,rank,it,http://www.wikidata.org/entity/Q119727126,http://www.wikidata.org/entity/Q4918
Organization,have,offices,http://www.wikidata.org/entity/Q127940363,http://www.wikidata.org/entity/Q7072361
University,open,Museum,http://www.wikidata.org/entity/Q136194608,http://www.wikidata.org/entity/Q5359197
Traveller,rank,Beirut,http://www.wikidata.org/entity/Q5159440,http://www.wikidata.org/entity/Q3820
newspapers,include,Beirut,http://www.wikidata.org/entity/Q228389,http://www.wikidata.org/entity/Q3820
Arabs,call,it,http://www.wikidata.org/entity/Q2778441,http://www.wikidata.org/entity/Q4918
Tripoli,become,port,http://www.wikidata.org/entity/Q193409,http://www.wikidata.org/entity/Q7072361
It,leave,Tripoli,http://www.wikidata.org/entity/Q4918,http://www.wikidata.org/entity/Q193409
unit,control,villages,http://www.wikidata.org/entity/Q4743502,http://www.wikidata.org/entity/Q60998223
Many,leave,Lebanon,http://www.wikidata.org/entity/Q183,http://www.wikidata.org/entity/Q822
