private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
Beirut,http://www.wikidata.org/entity/Q3820,1.0,capital and largest city of Lebanon,Q3820,Beirut
Lebanon,http://www.wikidata.org/entity/Q822,1.0,country in West Asia,Q822,Lebanon
2025,http://www.wikidata.org/entity/Q49616,1.0,calendar year,Q49616,2025
Greater Beirut,http://www.wikidata.org/entity/Q16911940,1.0,urban agglomeration in Lebanon,Q16911940,Greater Beirut
Levant,http://www.wikidata.org/entity/Q15761348,1.0,academic journal,Q15761348,Levant
Mediterranean,http://www.wikidata.org/entity/Q4918,0.917,"sea between Europe, Africa and Asia",Q4918,Mediterranean Sea
2020,http://www.wikidata.org/entity/Q25337,1.0,year,Q25337,2020
Bayrūt,http://www.wikidata.org/entity/Q124973683,1.0,periodical published in Beirut between 1886 and 1918,Q124973683,Bayrūt
Beyrouth,http://www.wikidata.org/entity/Q3820,0.764,capital and largest city of Lebanon,Q3820,Beirut
Ammunira,http://www.wikidata.org/entity/Q4747332,1.0,Ancient king of Beirut,Q4747332,Ammunira
Amenhotep III,http://www.wikidata.org/entity/Q42606,1.0,ninth Pharaoh of the Eighteenth dynasty of Egypt,Q42606,Amenhotep III
Amenhotep IV,http://www.wikidata.org/entity/Q81794,0.526,Egyptian pharaoh in 18th Dynasty,Q81794,Akhenaten
Biruta,http://www.wikidata.org/entity/Q1168446,1.0,female given name,Q1168446,Biruta
Rib-Hadda,http://www.wikidata.org/entity/Q651352,1.0,King of Byblos in the 14th century BCE,Q651352,Rib-Hadda
Bērytós,http://www.wikidata.org/entity/Q45275011,0.764,dictionary entry,Q45275011,Berytos
Colonia Iulia Augusta,http://www.wikidata.org/entity/Q117025897,0.883,Roman colony founded by Emperor Augustus,Q117025897,colonia augusta
Barut,http://www.wikidata.org/entity/Q37053879,1.0,family name,Q37053879,Barut
Baruth,http://www.wikidata.org/entity/Q37318056,1.0,family name,Q37318056,Baruth
Beirut I,http://www.wikidata.org/entity/Q85746380,1.0,electoral district in Lebanon,Q85746380,Beirut I
Minet el-Hosn,http://www.wikidata.org/entity/Q47419957,0.973,quarter of Beirut,Q47419957,Minet El Hosn
Louis Burkhalter,http://www.wikidata.org/entity/Q6686811,1.0,archaeologist,Q6686811,Louis Burkhalter
Louis Lartet,http://www.wikidata.org/entity/Q946158,1.0,French scientist (1840–1899),Q946158,Louis Lartet
1894,http://www.wikidata.org/entity/Q7843,1.0,year,Q7843,1894
Godefroy Zumoffen,http://www.wikidata.org/entity/Q5576315,1.0,Swiss Jesuit archaeologist and geologist (1848–1928),Q5576315,Godefroy Zumoffen
the Museum of Fine Arts,http://www.wikidata.org/entity/Q5359197,0.935,"art museum in Gifu Prefecture, Japan",Q5359197,"The Museum of Fine Arts, Gifu"
Burkhalter,http://www.wikidata.org/entity/Q21482900,1.0,family name,Q21482900,Burkhalter
Damascus,http://www.wikidata.org/entity/Q3766,1.0,capital and largest city of Syria,Q3766,Damascus
Auguste Bergy,http://www.wikidata.org/entity/Q4821041,1.0,archaeologist (1873-1955),Q4821041,Auguste Bergy
Dillenseger,http://www.wikidata.org/entity/Q111757106,1.0,family name,Q111757106,Dillenseger
Bergy,http://www.wikidata.org/entity/Q22396554,0.764,"beach in Nunavut, Canada",Q22396554,Bergy Bar
Describes,http://www.wikidata.org/entity/Q117358004,0.595,citation intention,Q117358004,describes the cited work
Paul Bovier-Lapierre,http://www.wikidata.org/entity/Q7149461,1.0,French Jesuit archaeologist (1873-1950),Q7149461,Paul Bovier-Lapierre
Middle Paleolithic,http://www.wikidata.org/entity/Q626270,1.0,archaeological period,Q626270,Middle Paleolithic
Henri Fleisch,http://www.wikidata.org/entity/Q3131086,1.0,archaeologist (1904–1985),Q3131086,Henri Fleisch
Beirut V,http://www.wikidata.org/entity/Q124002015,0.892,Ottoman Political Office,Q124002015,Beirut Vali
Beirut River,http://www.wikidata.org/entity/Q3335163,1.0,river in Lebanon,Q3335163,Beirut River
Tripoli,http://www.wikidata.org/entity/Q193409,1.0,"city in Peloponnese, Greece",Q193409,Tripoli
Patriarchate,http://www.wikidata.org/entity/Q1282276,1.0,jurisdiction and office of an ecclesiastical patriarch,Q1282276,patriarchate
Neolithic,http://www.wikidata.org/entity/Q36422,1.0,prehistoric period when agriculture is adopted,Q36422,Neolithic
Byblos,http://www.wikidata.org/entity/Q173532,1.0,"Mediterranean city in the Mount Lebanon Governorate, Lebanon, a main Canaanite-Phoenician city",Q173532,Byblos
Bourj,http://www.wikidata.org/entity/Q17511220,0.883,family name,Q17511220,Bourjos
