private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
"more than 5,000 years",,0.0,,,
the Globalization and World Cities Research Network.[6,,0.0,,,
recent decades.[7][8][9][10,,0.0,,,
the 14th century BC,,0.0,,,
the Beirut River,,0.0,,,
tens of thousands of years,,0.0,,,
the Middle Palaeolithic and Upper Paleolithic through the Neolithic to the Bronze Age,,0.0,,,
Beyrouth ville,,0.0,,,
Beirut II (Umm el-Khatib,,0.0,,,
Tarik el Jedideh,,0.0,,,
P.E. Gigues,,0.0,,,
Plateau Tabet,,0.0,,,
Lorraine Copeland.[24,,0.0,,,
P. E. Gigues,,0.0,,,
"Godefroy Zumoffen,[23",,0.0,,,
Raoul Describes[26,,0.0,,,
Auguste Bergy.[25,,0.0,,,
the Acheulean period,,0.0,,,
the Museum of Lebanese Prehistory,,0.0,,,
Emireh,,0.0,,,
Nahr Beirut,,0.0,,,
the Lebanese Evangelical School for Girls,,0.0,,,
Marina Hayek,,0.0,,,
Phoenician period,,0.0,,,
several years ago,,0.0,,,
the Directorate General of Antiquities of Lebanese University,,0.0,,,
Venus Towers Real Estate Development Company,,0.0,,,
Hanz Curver,,0.0,,,
Ralph Pederson,,0.0,,,
Mid-1st-century,,0.0,,,
the Seleucid Empire,,0.0,,,
the Kingdom of Armenia,,0.0,,,
the 1st century BC,,0.0,,,
the Bekaa Valley,,0.0,,,
the Roman Empire.[39,,0.0,,,
between 400 and 402.[42,,0.0,,,
the 6th century,,0.0,,,
AD 533,,0.0,,,
1110 to 1291,,0.0,,,
the Kingdom of Jerusalem,,0.0,,,
1197,,0.0,,,
Brabant,,0.0,,,
the Old Lord,,0.0,,,
Mamluk,,0.0,,,
Selim I,,0.0,,,
the 17th century,,0.0,,,
Ibrahim Pasha,,0.0,,,
the second half of the nineteenth century,,0.0,,,
1860,,0.0,,,
Vilayet Mehmed Rashid Pasha,,0.0,,,
"the Beirut Municipal Council,[55",,0.0,,,
the following decades.[55,,0.0,,,
Vilayet,,0.0,,,
Latakia,,0.0,,,
the United States,,0.0,,,
Aleppo,,0.0,,,
1911,,0.0,,,
the start of the 20th century,,0.0,,,
the Municipality of Beirut,,0.0,,,
Yussef Bin Ahmad Bin Ali Al Husseini,,0.0,,,
the Syrian Coast,,0.0,,,
1351,,0.0,,,
Bilad al-Sham,,0.0,,,
23 April 1954,,0.0,,,
1975,,0.0,,,
1978,,0.0,,,
Achrafiyeh,,0.0,,,
three-month,,0.0,,,
