private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
Beirut,http://www.wikidata.org/entity/Q3820,1.0,capital and largest city of Lebanon,Q3820,Beirut
Lebanon,http://www.wikidata.org/entity/Q822,1.0,country in West Asia,Q822,Lebanon
2025,http://www.wikidata.org/entity/Q49616,1.0,calendar year,Q49616,2025
Greater Beirut,http://www.wikidata.org/entity/Q16911940,1.0,urban agglomeration in Lebanon,Q16911940,Greater Beirut
Levant,http://www.wikidata.org/entity/Q15761348,1.0,academic journal,Q15761348,Levant
Mediterranean,http://www.wikidata.org/entity/Q4918,0.917,"sea between Europe, Africa and Asia",Q4918,Mediterranean Sea
"more than 5,000 years",,0.0,,,
the Globalization and World Cities Research Network.[6,,0.0,,,
2020,http://www.wikidata.org/entity/Q25337,1.0,year,Q25337,2020
recent decades.[7][8][9][10,,0.0,,,
Bayrūt,http://www.wikidata.org/entity/Q124973683,1.0,periodical published in Beirut between 1886 and 1918,Q124973683,Bayrūt
Beyrouth,http://www.wikidata.org/entity/Q3820,0.764,capital and largest city of Lebanon,Q3820,Beirut
the 14th century BC,,0.0,,,
Ammunira,http://www.wikidata.org/entity/Q4747332,1.0,Ancient king of Beirut,Q4747332,Ammunira
Amenhotep III,http://www.wikidata.org/entity/Q42606,1.0,ninth Pharaoh of the Eighteenth dynasty of Egypt,Q42606,Amenhotep III
Amenhotep IV,http://www.wikidata.org/entity/Q81794,0.526,Egyptian pharaoh in 18th Dynasty,Q81794,Akhenaten
Biruta,http://www.wikidata.org/entity/Q1168446,1.0,female given name,Q1168446,Biruta
Rib-Hadda,http://www.wikidata.org/entity/Q651352,1.0,King of Byblos in the 14th century BCE,Q651352,Rib-Hadda
Bērytós,http://www.wikidata.org/entity/Q45275011,0.764,dictionary entry,Q45275011,Berytos
Colonia Iulia Augusta,http://www.wikidata.org/entity/Q117025897,0.883,Roman colony founded by Emperor Augustus,Q117025897,colonia augusta
Barut,http://www.wikidata.org/entity/Q37053879,1.0,family name,Q37053879,Barut
Baruth,http://www.wikidata.org/entity/Q37318056,1.0,family name,Q37318056,Baruth
the Beirut River,,0.0,,,
tens of thousands of years,,0.0,,,
the Middle Palaeolithic and Upper Paleolithic through the Neolithic to the Bronze Age,,0.0,,,
Beirut I,http://www.wikidata.org/entity/Q85746380,1.0,electoral district in Lebanon,Q85746380,Beirut I
Minet el-Hosn,http://www.wikidata.org/entity/Q47419957,0.973,quarter of Beirut,Q47419957,Minet El Hosn
Beyrouth ville,,0.0,,,
Louis Burkhalter,http://www.wikidata.org/entity/Q6686811,1.0,archaeologist,Q6686811,Louis Burkhalter
Louis Lartet,http://www.wikidata.org/entity/Q946158,1.0,French scientist (1840–1899),Q946158,Louis Lartet
1894,http://www.wikidata.org/entity/Q7843,1.0,year,Q7843,1894
Godefroy Zumoffen,http://www.wikidata.org/entity/Q5576315,1.0,Swiss Jesuit archaeologist and geologist (1848–1928),Q5576315,Godefroy Zumoffen
the Museum of Fine Arts,http://www.wikidata.org/entity/Q5359197,0.935,"art museum in Gifu Prefecture, Japan",Q5359197,"The Museum of Fine Arts, Gifu"
Beirut II (Umm el-Khatib,,0.0,,,
Burkhalter,http://www.wikidata.org/entity/Q21482900,1.0,family name,Q21482900,Burkhalter
Tarik el Jedideh,,0.0,,,
P.E. Gigues,,0.0,,,
Plateau Tabet,,0.0,,,
Damascus,http://www.wikidata.org/entity/Q3766,1.0,capital and largest city of Syria,Q3766,Damascus
Lorraine Copeland.[24,,0.0,,,
P. E. Gigues,,0.0,,,
Auguste Bergy,http://www.wikidata.org/entity/Q4821041,1.0,archaeologist (1873-1955),Q4821041,Auguste Bergy
Dillenseger,http://www.wikidata.org/entity/Q111757106,1.0,family name,Q111757106,Dillenseger
"Godefroy Zumoffen,[23",,0.0,,,
Raoul Describes[26,,0.0,,,
Auguste Bergy.[25,,0.0,,,
Bergy,http://www.wikidata.org/entity/Q22396554,0.764,"beach in Nunavut, Canada",Q22396554,Bergy Bar
Describes,http://www.wikidata.org/entity/Q117358004,0.595,citation intention,Q117358004,describes the cited work
Paul Bovier-Lapierre,http://www.wikidata.org/entity/Q7149461,1.0,French Jesuit archaeologist (1873-1950),Q7149461,Paul Bovier-Lapierre
Middle Paleolithic,http://www.wikidata.org/entity/Q626270,1.0,archaeological period,Q626270,Middle Paleolithic
the Acheulean period,,0.0,,,
the Museum of Lebanese Prehistory,,0.0,,,
Henri Fleisch,http://www.wikidata.org/entity/Q3131086,1.0,archaeologist (1904–1985),Q3131086,Henri Fleisch
Emireh,,0.0,,,
