entity,label,source_url,title
Beirut,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Lebanon,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
2025,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Greater Beirut,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Levant,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Mediterranean,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
"more than 5,000 years",DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Globalization and World Cities Research Network.[6,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
2020,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
recent decades.[7][8][9][10,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Bayrūt,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Beyrouth,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the 14th century BC,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Ammunira,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Amenhotep III,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Amenhotep IV,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Biruta,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Rib-Hadda,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Bērytós,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Colonia Iulia Augusta,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Barut,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Baruth,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Beirut River,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
tens of thousands of years,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Middle Palaeolithic and Upper Paleolithic through the Neolithic to the Bronze Age,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Beirut I,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Minet el-Hosn,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Beyrouth ville,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Louis Burkhalter,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Louis Lartet,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1894,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Godefroy Zumoffen,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Museum of Fine Arts,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Beirut II (Umm el-Khatib,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Burkhalter,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Tarik el Jedideh,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
P.E. Gigues,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Plateau Tabet,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Damascus,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Lorraine Copeland.[24,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
P. E. Gigues,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Auguste Bergy,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Dillenseger,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
"Godefroy Zumoffen,[23",PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
